Questions,Difficulty
How many dimensions can you use in a Bar chart?,1
Which QlikView object has only expression and no dimension?,1
How can you use Macros in your application?,3
What do you understand by layers in QlikView?,1
What are Dimensions?,3
Explain Normalized data.,3
What is Star Schema?,2
What is Snowflake Schema?,3
Explain IntervalMatch.,2
Explain the IntervalMatch() function.,2
What is a Container?,1
What do you understand by the extended IntervalMatch() function?,2
What are the new features in QV 11?,2
Explain Join and its types.,2
What is Left Join?,1
Define Right Join.,3
Explain Inner Join.,2
What are Modifiers?,1
Explain Identifier's syntax.,2
Explain the 3-tier architecture of QlikView Application.,2
How does QlikView store data internally?,2
Explain the restrictions of Binary Load for a QlikView Developer.,2
"For a QlikView Administrator, differentiate between Subset Ratio and Information Density.",2
What is the use of Optimized Load?,3
Differentiate between Keep and Join.,1
Define Synthetic Key.,3
What is Incremental Load in QlikView Architect?,2
Differentiate between the Set and Let options in QlikView.,2
Define QlikView Resident Load.,2
How can you optimize a QV Application?,1
What is Mapping Load?,2
Define Apply Map.,1
What is Concatenation?,1
Define NoConcatenation.,3
Define the Connect statement.,3
What do you understand by Fact Constellation Schema?,2
What do you mean by RDBMS?,2
What do you understand by the term 'CAL' in QlikView Server? ,2
Differentiate between QlikView Server and QlikView Publisher.,1
What do you understand by the Snapshot View of a table?,2
How can you bring data into QV?,3
How can you handle Early Arriving Facts?,1
What type of data do we use generally?,3
Elucidate QlikView.,1
What are the benefits of using QlikView?,3
How is QlikView 11 different from QlikView 10?,1
What is QlikView Comparative Analysis in the QlikView Developer platform?,2
What mobile device platforms does QlikView 11 support?,2
"For a QlikView Admin, what is Document-level Auditing in QlikView 11?",3
"What are the key differences between QlikView and any other standard statistical software packages (SAS, SPSS, etc.)?",1
What are QlikView Annotations?,2
What are the main features of QlikView?,2
What are the differences between QlikView Server editions?,3
"
Find QlikView Training in Other Regions",3
Watch this Tableau Interview Questions & Answers: ,3
How is the Context Filter different from other Filters?,3
What is the disadvantage of Context Filters?,2
What are the five main products offered by Tableau?,1
What is the latest version of Tableau Desktop?,1
What is data visualization?,3
Why Tableau?,3
What are Filters? How many types of Filters are there in Tableau?,2
What is aggregation and disaggregation of data?,1
How to remove the Show All option from a Tableau Auto Filter?,2
Can we use non-used columns (columns that are not used in reports but used in data source) in Tableau Filters?,2
What is the benefit of Tableau Extract file over the live connection?,3
What is the different between twb and twbx file extensions. Please explain.,1
How to combine two Excel files with the same fields but different data (different years)?,1
What is the maximum number of tables we can join in Tableau?,3
What is the difference between joining and blending in Tableau?,1
What are Dimensions and Facts?,1
Can we place an Excel file in a shared location and use it to develop a report and refresh it in regular intervals?,2
What is the difference between heat map and treemap?,2
What is dual axes?,1
What is blended axis?,3
What makes Tableau stand out?,3
How do we do testing in Tableau?,1
Can you get values from two different sources as a single input into parameter?,2
How do we use parameters in Tableau?,1
What is the use of the new custom SQL query in Tableau?,3
What are the differences between Tableau and other traditional BI tools?,2
What are the similarities and differences between Tableau and Palantir?,3
How to create cascading filters without using context filter?,3
Is Tableau good for a strategic acquisition?,2
How to display the top five and the last five sales in the same view?,1
"Suppose, without using a line/bar chart, I want to design a view to show the region-wise profit and sales. How should I go about doing it? Explain.",2
"Design a view in a map such that if a user selects any state, the profit and sales in the cities under that state would show up.",3
How to add custom color in Tableau?,3
How can we combine a database and the flat file data in Tableau Desktop?,1
What does Tableau do?,2
What is Tableau Public?,3
What is data modeling?,3
What is your daily work process in Tableau?,1
What is parameters in Tableau? How do they work?,2
How does Tableau work with huge datasets?,1
How will you publish and schedule a workbook in Tableau Server?,2
Distinguish between Parameters and Filters.,1
How to view a SQL generated by Tableau Desktop?,2
What is Page shelf?,3
What are the major differences between Tableau 7.0 and Tableau 8.0?,1
How to create filled maps?,3
Does a parameter have its own drop-down list?,1
How to rectify SQL performance for developed dashboards?,3
How is data blending different from data joining?,3
"Is it possible to store a huge amount of data in a memory engine using Tableau? If yes, how can we achieve that?",3
How is Tableau different from traditional reporting/BI tools?,3
What is the difference between INDEX and RANK in Tableau?,3
How to automate reports in Tableau?,3
"Suppose, my license expires today. Can my users be able to view the dashboards or workbooks that I published in the server earlier?",3
Assume that I am using Tableau Desktop and have a live connection to Cloudera Hadoop data. I need to press F5 to refresh the visualization. Is there any way to automatically refresh the visualization every x minutes instead of pressing F5 everytime?,2
What is Tableau Desktop?,3
"What are the differences between Tableau, GoodData, and the other traditional BI tools (BusinessObjects, etc.)?",1
What is Tableau?,3
What is Tableau Server?,3
Explain the integration of Tableau with R.,1
What is the difference between the quick filter and the normal filter in Tableau?,2
"
Find Tableau Training in Other Regions",2
Compare a database with Data Warehouse.,1
What is the purpose of cluster analysis in Data Warehousing?,2
What is the difference between agglomerative and divisive hierarchical clustering?,1
Explain the chameleon method used in Data Warehousing.,1
What is Virtual Data Warehousing?,3
What is Active Data Warehousing?,2
What is a snapshot with reference to Data Warehouse?,2
What is XMLA?,2
What is ODS?,2
What is the level of granularity of a fact table?,3
What is the difference between ‘view’ and ‘materialized view’?,3
